name,link,vibe (chilled or epic or deep-dive)
Chilled Classics,https://open.spotify.com/playlist/3jvaBZgyFqOvuHOE7Lh0R7?si=61c2115bb0d245d8,chilled
The Very Best of Scriabin,https://open.spotify.com/playlist/6jKYnyW1i9YbAwA4HF8NOy?si=f3d191ff8aa645c4,deep-dive
Piano Rarities,https://open.spotify.com/playlist/5RVkYMTKuPXou5HCWKk9Du?si=4247b895b628496c,deep-dive
Ideal Piano Repertoire (Within Reason),https://open.spotify.com/playlist/2RKWMPMNB6LdJcJuD6sUxl?si=9cec71e26c944bdd,deep-dive
Profoundly Calm,https://open.spotify.com/playlist/3xoUfxvl5UnhVlChPXkthT?si=444f181987614f06,chilled
Bach Well-Tempered Clavier (The Chilled Ones),https://open.spotify.com/playlist/3sXe7aioOpz1WnSVZY8cwT?si=cf02ecb82e634abf,chilled
Piano Songs that keep getting Better and Better,https://open.spotify.com/playlist/0JhsBWMcKwR0OVoz1B5iJ0?si=3acdaf0ed69e48b0,deep-dive
Top-Tier (Classical),https://open.spotify.com/playlist/45PWqyhJFKCbH6zM6CAPAy?si=9a927d9fe9514ae2,epic
Goated Piano Concertos,https://open.spotify.com/playlist/7dhPf4p4k5JXiDvoK2oFpb?si=044fa592b12b4080,deep-dives
Rock/Metal (but it's classical),https://open.spotify.com/playlist/2T1OmtRIdPFL32zru87Jgt?si=e2a3f43b22094cfd,epic
Classical (Bangers Only),https://open.spotify.com/playlist/3I2sMLXUJxGNM56V8VKIb8?si=6e42390383d844ce,epic
Chopin Pieces and their Scriabin Equivalents,https://open.spotify.com/playlist/58Jvo47vi4gOAMCpkJ32Sg?si=6905f33d55874eb4,deep-dive
Classical (Scary),https://open.spotify.com/playlist/5VkTG3tB5QUQ0SPnSai8b8?si=03da33402e1b48e4,epic
Bach French Suites (The Chilled Ones),https://open.spotify.com/playlist/3LA7xWp4FFyvFwRUXruoZP?si=0a5a919838664210,chilled
Mozart (The Chilled Ones),https://open.spotify.com/playlist/6xxGVnoEPpxqUk8p60lRlx?si=3d5e0cdf8d7c4051,chilled
Haydn Symphonies (The Chilled Ones),https://open.spotify.com/playlist/72N1Xfh51NnEv0HUczxn2a?si=dc81ec286dec41de,chilled
The Best Haydn Symphonies,https://open.spotify.com/playlist/5Zqry42SnlLhGbGDL0M1Fu?si=3d24a3fb67f744f1,deep-dive
Every Composer's Greatest Tunes,https://open.spotify.com/playlist/5c1bS7aWMsm8u51MIyT9A7?si=33531f434bfc4bff,deep-dive
Best Rachmaninoff Etudes,https://open.spotify.com/playlist/0bbuV34nEjtYCMcF4P9nTA?si=bf01aa57945049e8,deep-dive
Driving Through British Countryside,https://open.spotify.com/playlist/2gl9T9OIDLKJKS1TPfcv1Q?si=c16e4c8bc0814056,chilled
Just Lots of Random Fugues,https://open.spotify.com/playlist/6iqpLqBQGyBfTZ3EjHafTk?si=cbccd4cd0a714716,deep-dive
Tunes About Water,https://open.spotify.com/playlist/6XNXOfdRUkqrR9lsUldibM?si=551e4bf052204b8f,deep-dive
So Chilled - Barely Even Music,https://open.spotify.com/playlist/42foQl9RYju853G7ZzKYxL?si=bdb771aba82945f2,chilled
Classical for people who dislike classical,https://open.spotify.com/playlist/4ZueTzEZZISZIGh7aF1xb8?si=6d075540c2a641b8,deep-dive
Bangers but all in A-Flat Major,https://open.spotify.com/playlist/3avqyRjAqVMdnKosFZ3ENv?si=42f5dfc9adcd46aa,deep-dive
Vibey Schumann,https://open.spotify.com/playlist/6NMcz26cLYY3jopGErRCyw?si=f4186b7f0868470b,chilled
Hardcore Spanish Music,https://open.spotify.com/playlist/0JKfGfw162lSSlgtg336zX?si=cd1341ed48774ed5,epic
Classical (Happy),https://open.spotify.com/playlist/57MC4H054MOQruu0OGuYkf?si=8634b430e027421b,epic
Bach but completely mental,https://open.spotify.com/playlist/3UiS5rRbM4hNxjn7y4iZPE?si=cc17189eec154edf,epic
The Best Beethoven Sonatas,https://open.spotify.com/playlist/5jBCrxM2xu300c0IR4EbAc?si=bd219f47653b41f4,deep-dive
Nice Classical Guitar,https://open.spotify.com/playlist/1nBzagJwpjQgreDJTAV5XT?si=83e56ef1d11f4f01,chilled
Pieces Everyone Definitely Knows,https://open.spotify.com/playlist/4jetXS9rgOlBxokbHLiVMy?si=91d5e364f445436d,deep-dive
Satisfyingly Long Pieces,https://open.spotify.com/playlist/43EPBV3BsQUmwlI0EoRyGO?si=ca3f945afe6f4a31,epic
Chopin - The Sachin Selection,https://open.spotify.com/playlist/4S6uZfNqF2bLWDXMH6w4cL?si=1fd47a8a11df4a81,deep-dive